Book Title,Authors,Rating,ISBN,ASIN,Number of Pages,Format,Genres
Anne of Avonlea,"Montgomery, Ian, Lucy Maud Montgomery",,9780770421311,,277,paperback,Islands
The Thirteen,Honore de Balzac,,9781620139660,,0,paperback,Classic literature
Mistress of Mellyn,Victoria Holt,1,9780449239247,,0,paperback,Family secrets
Captivated,Nora Roberts,4,9780373285006,,312,paperback,Fiction
Heir of Fire,Sarah J. Maas,,9780606385145,,0,paperback,romance
Daughter of the Forest,Juliet Marillier,,9780606246170,,0,paperback,Kidnapping
White Hot,Sandra Brown,,9781594130823,,696,paperback,Fiction
Chain of Gold,Cassandra Clare,,9781406390223,,,paperback,Brothers and sisters
Emma,Jane Austen,,9780451526274,,422,paperback,England
The Legacy,Linda Lael Miller,,9780671797928,,2,paperback,Fiction
Seduce Me at Sunrise,Lisa Kleypas,5,9781602853041,,0,paperback,Great Britain
The Rachel Papers,Martin Amis,,9780679734581,,0,paperback,Black humor
Bride of the Tiger,Heather Graham Pozzessere,,9781551661469,,258,paperback,Fiction
Seduce Me at Sunrise,Lisa Kleypas,5,9781602853041,,0,paperback,Great Britain
The Rachel Papers,Martin Amis,,9780679734581,,0,paperback,Black humor
Five Days in Paris,Danielle Steel,,9780440222842,,291,paperback,Fiction
Too Strong to Deny,Emma Darcy,,9780263122671,,294,paperback,Fiction
The Playboy and the Nanny,Anne McAllister,,9780373120055,,196,paperback,Fiction
The Spirit of Romance,Ezra Pound,,,,272,paperback,"Literature, Medieval"
The Horse Whisperer,Nicholas Evans,,9780440222651,,468,paperback,American fiction
On the Night of the Seventh Moon,Victoria Holt,,9780708903216,,557,paperback,English fiction
The Glass Menagerie,Tennessee Williams,4,9780811214049,,132,paperback,Drama
The Winemaker's Wife,Kristen Harmel,,9781787394841,,336,paperback,Fiction
Sunshower,Christene Thompson,,9780745118703,,214,paperback,Romance
Bride of the Tiger,Heather Graham Pozzessere,,9781551661469,,258,paperback,Fiction
Dark Guardian,Christine Feehan,5,9780843949940,,0,paperback,Attempted assassination
Malafrena,Ursula K. Le Guin,,9780425046470,,358,paperback,Fiction
Just Once,Karen Kingsbury,,9781982104443,,336,paperback,Fiction
Charmed,Nora Roberts,,9780733563508,,559,paperback,Love stories
Medieval Romance and Material Culture,Nicholas Perkins,,9781843843900,,312,paperback,Literary Criticism
Marry Me by Sundown,Johanna Lindsey,,9781432853259,,0,paperback,Fiction
Rising Tides,Nora Roberts,,9781417715138,,0,paperback,Fiction
Big Sky Secrets,Linda Lael Miller,4,9780373778317,,381,paperback,Fiction
Desire,Nicole Jordan,,9780739419540,,438,paperback,Aristocracy (Social class)
Hot Blood,Charlotte Lamb,,9780263146660,,290,paperback,Fiction
The Virgin Blue,Tracy Chevalier,,9781471296307,,,paperback,romance
Climax of Passion,Emma Darcy,,9780373117710,,196,paperback,Fiction
The Blue Castle,Lucy Maud Montgomery,,9780771062179,,264,paperback,Canada
Wild Designs,Katie Fforde,,9780312156930,,322,paperback,Fiction
Promise Me Tomorrow,Lori Wick,,9781565076952,,0,paperback,Christian fiction
"Sunlight, Moonlight",Amanda Ashley,5,9780505521583,,404,paperback,Fiction
Chasing Perfect,Susan Mallery,,9781602857575,,382,paperback,Fiction
The Dogs and the Wolves,Irène Némirovsky,5,9780099507789,,227,paperback,Bankers
The Last Song,Nicholas Sparks,,9780446547567,,390,paperback,Fiction
"Jigsaw, an Unsentimental Education",Sybille Bedford,,,,356,paperback,Fiction
Swipe Right,Levi Lusko,,9780718032159,,0,paperback,Religion
Romance and Legend of Chivalry,Ascott Robert Hope Moncrieff,,9780517118627,,464,paperback,Fiction
Miracle,Danielle Steel,,9780593050149,,181,paperback,Businessmen
Leap of Faith,Danielle Steel,,9780593043639,,202,paperback,English fiction
The Marrying Game,Lindsay Armstrong,,9780263123517,,292,paperback,Fiction
Stand-In Groom,Suzanne Brockmann,,9780553445985,,244,paperback,Fiction
Deadly Gift,Heather Graham,,9781410408907,,495,paperback,Fiction
Deadly Night,Heather Graham,,9781410408921,,0,paperback,Haunted houses
Leap of Faith,Danielle Steel,,9780593043639,,202,paperback,English fiction
The Marrying Game,Lindsay Armstrong,,9780263123517,,292,paperback,Fiction
The Secret Woman,Victoria Holt,,9780002217385,,318,paperback,Fiction
My Scandalous Bride,"Christina Dodd, Stephanie Laurens, Celeste Bradley, Leslie Lafoy",4.5,9780312995225,,356,paperback,Fiction
Love,Toni Morrison,,9780099455493,,28,paperback,Fiction
The Camel of Destruction,Michael Pearce,,9780708951699,,386,paperback,Fiction
Mastering the Marquess,Vanessa Kelly,,9781420109733,,499,paperback,Fiction
Our Chemical Hearts,Krystal Sutherland,,9781761048760,,369,paperback,Juvenile Fiction
Part-Time Marriage,Jessica Steele,,9780373036806,,200,paperback,Fiction
A Death in Vienna,Daniel Silva,,9780754068907,,523,paperback,"Allon, Gabriel (Fictitious character)"
The Soldier's Bride,Rachelle J. Christensen,,9780996897617,,348,paperback,Fiction
West Side Story,Irving Shulman,4,9780671725662,,164,paperback,Fiction
The Sun Is Also a Star,Nicola Yoon,,9780552577564,,348,paperback,Deportation
Down the Rabbit Hole,"J. D. Robb, Mary Blayney, Elaine Fox, Mary Kay McComas, Ruth Ryan Langan",,9780515155471,,434,paperback,Fiction
House of Scarlett,Meghan March,,9781943796427,,316,paperback,Fiction
Stand-In Groom,Suzanne Brockmann,,9780553445985,,244,paperback,Fiction
It Happened One Summer,Tessa Bailey,5,9780063082359,,416,paperback,romance
Solo,Jack Higgins,,9780440181651,,296,paperback,Fiction
In the Sheikh's Marriage Bed,Sarah Morgan,,9780263185584,,284,paperback,Fiction
Ghosts of the Shadow Market,"Cassandra Clare, Sarah Rees Brennan, Maureen Johnson, Kelly Link, Robin Wasserman",,9781406389432,,616,paperback,Demonology
P.S. I Still Love You,Jenny Han,4,9781407157986,,0,paperback,Dating (Social customs)
Chain of Iron,Cassandra Clare,,9781406399455,,,paperback,Demonology
Deadly Gift,Heather Graham,,9781410408907,,495,paperback,Fiction
The Forget-Me-not Sonata,Santa Montefiore,,9781407403953,,597,paperback,Romance
Scaramouche,Rafael Sabatini,,,,0,paperback,Fiction (General).
Lucky,Jackie Collins,,9780671524968,,598,paperback,Fiction
The Independent Bride,Sophie Weston,,9780263179354,,290,paperback,Fiction
29 Dates,Melissa De la Cruz,,9781335541543,,0,paperback,Young Adult Fiction
The Girls of Mischief Bay,Susan Mallery,,9780778319757,,0,paperback,Female friendship
Deadly Night,Heather Graham,,9781410408921,,0,paperback,Haunted houses
The House on Hope Street,Danielle Steel,,9780754014959,,240,paperback,Bereavement
Whirlpool of Passion,Emma Darcy,,9780263758665,,187,paperback,Romance
Me and Mr Jones,Lucy Diamond,,9781471259241,,,paperback,Audiobooks
The Firebird,Susanna Kearsley,,9781471196096,,0,paperback,Antiques & Collectibles
Lie Down in Darkness,William Styron,,,,408,paperback,Fiction
Irresistible Forces,Danielle Steel,,9780593040720,,372,paperback,Adultery
Invitation to Provence,Elizabeth A. Adler,,9781843957119,,392,paperback,Americans
Zodiac,"Richard Dilys, Dilys Gater, Richard Lawler",,9780708936467,,228,paperback,Fiction
Layla,Colleen Hoover,5,9781542000178,,304,paperback,Fiction
Almost Forever,Linda Howard,,9781551665580,,0,paperback,Businesswomen
Open Heart,Mary Bringle,,9780453004237,,376,paperback,Fiction
Me and Mr Jones,Lucy Diamond,,9781471259241,,,paperback,Audiobooks
The Firebird,Susanna Kearsley,,9781471196096,,0,paperback,Antiques & Collectibles
Irresistible Forces,Danielle Steel,,9780593040720,,372,paperback,Adultery
Lie Down in Darkness,William Styron,,,,408,paperback,Fiction
Invitation to Provence,Elizabeth A. Adler,,9781843957119,,392,paperback,Americans
"Goodbye, Sally",Rhona Martin,,9780708920152,,534,paperback,Fiction
Tallchief,Cait London,,9780373764198,,196,paperback,Fiction
Maggie,Joan Lingard,,9780330333610,,188,paperback,romance
Zodiac,"Richard Dilys, Dilys Gater, Richard Lawler",,9780708936467,,228,paperback,Fiction
To Beguile a Beast,Elizabeth Hoyt,,9781408456422,,453,paperback,Housekeepers
Highland Beast,"Hannah Howell, Victoria Dahl",,9781420106725,,352,paperback,Demonology
What to Buy the Shadowhunter who Has Everything,"Cassandra Clare, Sarah Rees Brennan",,9781406352252,,,paperback,Demonology
Morgan's Child,Anne Mather,,9780373120000,,196,paperback,Fiction
A Hundred Honeymoons,J. S. Wilson,,9781664134201,,466,paperback,romance
Danger in the Shadows,Dee Henderson,,9781576739273,,324,paperback,Fiction
Irresistible,Susan Mallery,,9780373771172,,0,paperback,Love stories
Free to Love,Ivana Trump,,9780099358718,,512,paperback,Romance
One Perfect Rose,Mary Jo Putney,,9781386096726,,,paperback,romance
The Butterfly Picnic,Joan Aiken,,9780745116457,,407,paperback,romance
Miss Butterworth and the Mad Baron,"Julia Quinn, Violet Charles",,9780062958594,,160,paperback,Comics & Graphic Novels
Silverhill,Phyllis A. Whitney,,,,232,paperback,Fiction
Mistress Pat,L. M. Montgomery,,9780553280487,,277,paperback,Families
Home Front,Kristin Hannah,,9780753191019,,528,paperback,Interpersonal relations
Princess Daisy,Judith Krantz,,,,486,paperback,Fiction
Pearl in the Mist,Virginia Andrews,,9780671719067,,374,paperback,romance
Canyons of Night,Jayne Castle,,9780515149883,,371,paperback,Fiction
The Love Knot,Rebecca Brandewyne,,9781587244933,,456,paperback,Fiction
The Duke's Princess Bride,Amalie Howard,,9781728243412,,352,paperback,romance
Prescriptions and Promises,Jessica Matthews,,9780373063024,,196,paperback,Pharmaceutical services
Almost Forever,Linda Howard,,9781551665580,,0,paperback,Businesswomen
The Ultimate Choice,Emma Darcy,,9780263123364,,288,paperback,Large type books
Anne of Green Gables,Lucy Maud Montgomery,,9780739367209,,0,paperback,Fiction
Where There's a Will,Day Leclaire,,9780373361069,,228,paperback,Fiction
Presumed Guilty,Tess Gerritsen,,9781551662992,,0,paperback,Maine
Temptation,Jude Deveraux,,9780708948118,,449,paperback,Americans
Texas! Lucky,Sandra Brown,,9780739328217,,404,paperback,Fiction
The Desert Bride of Al Zayed,Tessa Radley,,9780733583964,,184,paperback,Love stories
Tiger's Eye,Madeleine Ker,,9780263122640,,285,paperback,Large type books
The House of the Seven Gables,"Nathaniel Hawthorne, Philip Young",,9780030844201,,280,paperback,Classic
Fortune's Lady,Melinda Hammond,,9780708951873,,320,paperback,England
Temptation,Jude Deveraux,,9780708948118,,449,paperback,Americans
Texas! Lucky,Sandra Brown,,9780739328217,,404,paperback,Fiction
The Desert Bride of Al Zayed,Tessa Radley,,9780733583964,,184,paperback,Love stories
Wuthering Heights,"Emily Brontë, Charlotte Brontë",,9781851523030,,527,paperback,romance
Tiger's Eye,Madeleine Ker,,9780263122640,,285,paperback,Large type books
Girl in Luv,"Jay Crownover, Rebecca Yarros",,9781393711339,,187,paperback,Dating (Social customs)
The Pursuit,"Janet Evanovich, Lee Goldberg",,9780553392777,,321,paperback,Fiction
Eden Close,Anita Shreve,,9780349105871,,288,paperback,Blindness
Island of Shells,Grace Green,,9780263137750,,290,paperback,Fiction
Tuesday's Child,Louise Bagshawe,,9780755304288,,448,paperback,Chick lit
Private Peaceful,Michael Morpurgo,,9780007486441,,0,paperback,Juvenile Fiction
Beauty and the Badge,Lyn Stone,,9780373079520,,262,paperback,Fiction
Waiting,Ha Jin,,9780099287599,,322,paperback,American fiction
Prince of Lies,Robyn Donald,,9780263144147,,283,paperback,Large type books
A Pirate's Love,Johanna Lindsey,,9780786207244,,0,paperback,Caribbean Area
The Far Country,Nevil Shute,,9780434699148,,306,paperback,Fiction
Meant to Be,Jude Deveraux,,9780778331445,,416,paperback,Fiction
Fractured,Dani Atkins,,9781471268014,,,paperback,romance
The Fiancé Fix,Carole Mortimer,,9780263175233,,186,paperback,Love stories
Traded to the Sheikh,Emma Darcy,,9780263189766,,284,paperback,Large print books
The Strangers at Briery Hall,Mary Jane Warmington,,9780708956380,,0,paperback,Large print books
Flaming Arrow,Cassie Edwards,,9780451407573,,388,paperback,Fiction
Miss Ambar Regrets,Jon Cleary,,9780732276348,,14,paperback,Fiction
Anne,Muriel Canfield,,9780871234230,,164,paperback,Juvenile Fiction
The Ambassador's Daughter,Pam Jenoff,,9780778309130,,0,paperback,Fiction
Dream Baby,Ann Evans,,9780373708703,,308,paperback,Fiction
Burglar Bill,"Janet Ahlberg, Allan Ahlberg",,9780434925001,,32,paperback,Burglary
The Spanish Billionaire's Christmas Bride,Maggie Cox,,9780263203714,,187,paperback,Romance
The House of the Seven Gables,"Nathaniel Hawthorne, Philip Young",,9780030844201,,280,paperback,Classic
Love is in the Cards,Emma Goldrick,,9780263123654,,285,paperback,Large type books
Animating Maria,Marion Chesney,,9780745115306,,240,paperback,Young women
Dishonourable Seduction,Angela Wells,,9780263142402,,287,paperback,Large print books
High-Country Governess,Essie Summers,,9780263118476,,285,paperback,romance
Water Bound,Christine Feehan,,9781410432216,,0,paperback,Amnesia
The Queer Principles of Kit Webb,Cat Sebastian,,9780063026216,,352,paperback,Fiction
War of Love,Carole Mortimer,,9780263141443,,186,paperback,Romance
Colors of Truth,Tamera Alexander,,9781735758800,,520,paperback,Fiction
Something That Lasts,James Jordan,,9781602850736,,318,paperback,Fiction
His Perfect Wife,Susanne McCarthy,,9780263807165,,186,paperback,Love stories
An Echo in the Darkness,Francine Rivers,4.5,9780842313070,,482,paperback,Fiction
Just Once,Karen Kingsbury,,9781982104443,,336,paperback,Fiction
We Are Not Ourselves,Matthew Thomas,,9781476756660,,640,paperback,Fiction
"Solitary Envoy, The","T. Davis Bunn, Isabella Bunn",,9780764228575,,320,paperback,Fiction
Ruth's Journey,Donald McCaig,,9781451643534,,384,paperback,Fiction
Psychopathology,John Ernest Nicole,,,,308,paperback,Historical
Allegiance,Cayla Kluver,5,9780373210435,,501,paperback,Fiction
Something Red,Douglas Nicholas,,9781451660074,,325,paperback,Fiction
Matterhorn,Karl Marlantes,,9786077356202,,0,paperback,Fiction
Brezo Blanco,Nieves Hidalgo,,9788490702833,,0,paperback,Clans
The Blood of Flowers,Anita Amirrezvani,5,9780786298976,,0,paperback,American fiction
Navegando Por La Tentación,Lorraine Heath,,9788468784656,,320,paperback,Fiction
An Echo in the Darkness,Francine Rivers,,9780842313070,,481,paperback,Fiction
Middlemarch,George Eliot,,9780451517500,,836,paperback,Fiction
Miss Cameron's Fall from Grace,Helen Dickson,,9780373306404,,280,paperback,Historical
Frog Music,Emma Donoghue,,,,424,paperback,Fiction
The Living is Easy,Dorothy West,,9781558611474,,380,paperback,Fiction
Green Gauntlet,R.F. Delderfield,,9780345218995,,430,paperback,historical fiction
Something Red,Douglas Nicholas,,9781451660074,,325,paperback,Fiction
Black Mountain,Venero Armanno,,9781459689565,,412,paperback,Fugitive slaves
Sex and Sex Worship (phallic Worship),Otto Augustus Wall,,,,632,paperback,Historical
The Dark Room,Rachel Seiffert,,,,414,paperback,Fiction
The Twisted Sword,Winston Graham,,9780708988220,,504,paperback,Fiction
Just Once,Karen Kingsbury,,9781982104443,,336,paperback,Fiction
The Winemaker's Wife,Kristen Harmel,,9781787394841,,336,paperback,Fiction
Bleak House,Charles Dickens,,9781912464333,,0,paperback,historical fiction
Stork Bite,L. K. Simonds,,9781736203002,,380,paperback,Fiction
In the Region of the Summer Stars,Stephen R. Lawhead,,9780765383440,,334,paperback,Fiction
Citadel,A. J. Cronin,,9780575600966,,128,paperback,Coal miners
The Hidden Storyteller,Mandy Robotham,,9780008618483,,0,paperback,Fiction
The Porcelain Moon,Janie Chang,,9780063324398,,0,paperback,Fiction
The Duke's Princess Bride,Amalie Howard,,9781728243412,,352,paperback,historical fiction
Late Harvest,Fiona Buckley,,9780727894953,,0,paperback,FICTION
A Dangerous Game,Mandy Robotham,,9780008744250,,0,paperback,Fiction
Common Disorders and Diseases of Childhood,George Frederic Still,,,,872,paperback,Children
Snare of Serpents,Victoria Holt,,,,344,paperback,Fiction
The Nightingale,Kristin Hannah,,9781447283072,,0,paperback,Anti-Nazi movement
We Are Not Ourselves,Matthew Thomas,,9781476756660,,640,paperback,Fiction
The Field of Swords,Conn Iggulden,,9780007195268,,536,paperback,Biographical fiction
The Warsaw Orphan,Kelly Rimmer,,9781525811531,,416,paperback,Fiction
The Last Garden in England,Julia Kelly,,9781432885540,,,paperback,historical fiction
"Solitary Envoy, The","T. Davis Bunn, Isabella Bunn",,9780764228575,,320,paperback,Fiction
The Paris Daughter,Kristin Harmel,,9781802793642,,0,paperback,Fiction
The Sweet Smell of Decay,Paul Lawrence,,9780749015428,,0,paperback,Detective and mystery stories
Allegiance,Cayla Kluver,5,9780373210435,,501,paperback,Fiction
The Girl from the Channel Islands,Jenny Lecoat,,9781761065750,,272,paperback,historical fiction
The Resistance Girl,Mandy Robotham,,9780008516062,,432,paperback,historical fiction
El Tiempo y la Felicidad,Luciano De Crescenzo,,9788497590358,,224,paperback,historical fiction
A Woman of Substance,Barbara Taylor Bradford,,9780862202040,,1240,paperback,Large type books
The Lady of Abu Simbel,Christian Jacq,,9781740301152,,434,paperback,Egypt
The Strangled Queen,Maurice Druon,,9780007491285,,0,paperback,France
Sisters of the Resistance,Christine Wells,,9780063055445,,416,paperback,historical fiction
Heaven and Hell,John Jakes,,9780002231459,,700,paperback,historical fiction
Yankee Mission,Julian Stockwin,,9781473699175,,0,paperback,historical fiction
The Gates of Hell,P. C. Doherty,,9781841194974,,292,paperback,Detective and mystery stories
The Postmistress of Paris,Meg Waite Clayton,,9780062946980,,400,paperback,historical fiction
Odysseus,Valerio Massimo Manfredi,,9780230769342,,372,paperback,Adventure stories
The Valley of Death,Garry Douglas,,9780708941324,,0,paperback,"Balaklava (Ukraine), Battle of, 1854"
The Faraway Drums,Jon Cleary,,,,298,paperback,Fiction
A Rogue by Any Other Name,Sarah MacLean,,9781410449474,,0,paperback,Arranged marriage
The Living is Easy,Dorothy West,,9781558611474,,380,paperback,Fiction
King's Fool,Margaret Campbell Barnes,,9781402219023,,0,paperback,Courts and courtiers
Flashman in the Great Game,George MacDonald Fraser,,9780330248013,,351,paperback,English fiction
The Last Tiara,M. J. Rose,,9781952457173,,304,paperback,historical fiction
Angels in the Gloom,Anne Perry,,9780755302888,,312,paperback,Cambridge (England)
Katie Mulholland,,,,,411,paperback,historical fiction
The Conspiracy of Evil,Christian Jacq,,9780743492249,,0,paperback,Egypt
The Noble Fugitive,"T. Davis Bunn, Isabella Bunn",,9780764228599,,313,paperback,Fiction
Coming of the Storm,"Kathleen O'Neal Gear, W. Michael Gear",,9781410428424,,0,paperback,Historical
Aristotle and Poetic Justice,Margaret Anne Doody,,,,356,paperback,Fiction
To the Last Man,Jeff Shaara,,9781407066875,,,paperback,historical fiction
The Story Spinner,Barbara Erskine,,9780008560911,,0,paperback,Fiction
The Outcast Girls,Alys Clare,,9780727890450,,0,paperback,Boarding schools
His Substitute Wife,Dorothy Clark,,9780373425075,,0,paperback,FICTION
The Confessions of Young Nero,Margaret George,,9781867523536,,0,paperback,Emperors
Masqueraders,Georgette Heyer,,9780753174166,,378,paperback,England
The Knight's Tale,M. J. TROW,,9781448309085,,336,paperback,historical fiction
The Last Hero,Peter Forbath,5,,,744,paperback,Fiction
Harbor Secrets,Melody Carlson,,9781946531322,,324,paperback,Fiction
Mr. Timothy,Louis Bayard,,9780719567025,,384,paperback,Detective and mystery stories
Fortune's Favourites,Colleen McCullough,,9780712638500,,878,paperback,Australian fiction
One Little Sin,Liz Carlyle,,9780753176450,,392,paperback,Great Britain
The Sapphire Child,Janet MacLeod Trotter,,9781542092609,,524,paperback,Fiction
The Splintered Kingdom,James Aitcheson,,9781848093232,,420,paperback,Great Britain
The Viscount Who Loved Me,Julia Quinn,,9780063279469,,512,paperback,Fiction
Mr. Pipes Comes to America,Douglas Bond,,9781930367531,,212,paperback,Education
Enemies of the Heart,Rebecca Dean,,9780007262724,,608,paperback,Americans
Martin Farrell,Janni Howker,,9780435124373,,86,paperback,historical fiction
The Long Drop,Denise Mina,,9780316269735,,236,paperback,FICTION
Orchids and Diamonds,Rosalind Laker,,9780745178912,,545,paperback,Fiction
Deception,"Grace Cavendish, Jan Burchett",,9781862303799,,242,paperback,"Cavendish, Grace, Lady (Fictitious character)"
The Betrayals,Bridget Collins,,9780062838124,,416,paperback,Fiction
Sebastian's Pride,Susan Wilkinson,,9780718129750,,402,paperback,historical fiction
The Sugar Palace,Fiona McIntosh,,9781761047015,,402,paperback,Fiction
The Trumpeting Angel,Marshall Browne,,9781875989614,,416,paperback,Historical
The Mammoth Hunters,Jean M. Auel,,9780862204563,,1211,paperback,Ayla (Fictitious character)
Inside the Whale,George Orwell,,,,203,paperback,historical fiction
Village School,Miss Read,,9780745176093,,264,paperback,Country life
Painting the Light,Sally Cabot Gunning,,9780062916242,,368,paperback,historical fiction
"Wartime Wishes at Bletchley Park (the Bletchley Park Girls, Book 3)",Molly Green,,9780008599386,,0,paperback,Historical
Aloha Love,Yvonne Lehman,,9781410444370,,0,paperback,Hawai
Woman of Substance,Barbara Taylor Bradford,,9780745133553,,1256,paperback,Businesswomen
The Liar's Wife,Mary Gordon,,9780307377432,,288,paperback,Fiction
The Paris Deception,Bryn Turnbull,,9781638089285,,0,paperback,historical fiction
Rowan Farm,Margot Benary-Isbert,,9781948959179,,277,paperback,Juvenile Fiction
Surf Smugglers,Melody Carlson,,9781946531049,,300,paperback,historical fiction
Shaking Tent,Anne Michael,,9781975944711,,480,paperback,historical fiction
"Mary Ann Sate, Imbecile",Alice Jolly,,9781783528660,,640,paperback,Fiction
Paper Sparrow,Magda Palmer,,9781685831097,,262,paperback,historical fiction
Summer at Mount Hope,Rosalie Ham,,9780975192177,,296,paperback,Eccentrics and eccentricities
A Suitable Bride,Elsie King,,9780645868135,,0,paperback,Fiction
The Dream-time,Henry Treece,,9780340040508,,96,paperback,"Children's stories, English"
Rainbows on the Moon,Barbara Wood,,9781630260859,,0,paperback,Fiction
Warriors of God,Andrzej Sapkowski,,9780316593243,,464,paperback,Fiction
The Godmothers,Camille Aubray,,9780062983695,,432,paperback,Fiction
The River of Fire,Patrick Easter,,9780753192269,,336,paperback,Detective and mystery stories
The Henna Artist,Alka Joshi,,9781867231929,,304,paperback,Abused women
Secrets of the Desert,Christian Jacq,,9781845057084,,518,paperback,Conspiracies
A Distant Hero,Emma Drummond,,9780671717919,,424,paperback,Historical fiction
Lady Sarah's Redemption,Beverley Eikli,,9781444820386,,0,paperback,False personation
The Whisper of Silenced Voices,C. J. Archer,,9780648214908,,266,paperback,historical fiction
The Bookbinder of Jericho,Pip Williams,,9781922806628,,,paperback,historical fiction
The Lady from Burma,Allison Montclair,,9781250854193,,0,paperback,Fiction
The Map of Bones,Kate Mosse,,9781035042166,,0,paperback,Fiction
The Black Earth,Philip Kazan,,9780369331489,,577,paperback,"Greco-Turkish War, 1921-1922"
Murder Most Royal,Jean Plaidy,,9780425023402,,0,paperback,HISTORICAL.
Desired by the Duke/the Duke's Unexpected Bride/High Seas to High Society,"Sophia James, Lara Temple",,9781867241195,,464,paperback,historical fiction
Always a Stranger,Amara Royce,,9781601832269,,238,paperback,Fiction
The Long Shadow,Cynthia Harrod-Eagles,,9780356093727,,367,paperback,Great Britain
Made for Murders: a Collection of Twelve Shakespearean Mysteries,Peter Tremayne,,9781472296160,,0,paperback,historical fiction
Kerry Postle,Kerry Postle,,9780008331092,,384,paperback,historical fiction
A Suitable Heir,Elsie King,,9780645868111,,0,paperback,historical fiction
The Keeners,Maura D. Shaw,,9781932815153,,0,paperback,Clare (Ireland)
City of Spies,Mara Timon,,9781838773014,,552,paperback,historical fiction
A Court of Betrayal,Anne O'Brien,,9781398711198,,0,paperback,historical fiction
The Fallen Woman,Fiona McIntosh,,9781761049293,,450,paperback,Australian fiction
All Souls' Rising,Madison Smartt Bell,,9780140141177,,530,paperback,English fiction
Nothing Left to Fear from Hell,Alan Warner,,9781846975691,,0,paperback,historical fiction
Two-Bits,Robert J. Trout,,9781482611205,,216,paperback,Juvenile Fiction
Ruth's Journey,Donald McCaig,,9781451643534,,384,paperback,Fiction
The Crash,Kate Furnivall,,9781399713641,,0,paperback,Historical
The Whisperer's War,Jackie French,,9781038903891,,0,paperback,Historical
Montana Cowboy Family,Linda Carol Ford,,9780373425068,,0,paperback,Christian fiction
Lucky Billy,John Vernon,,9781602854031,,0,paperback,Fiction
Death in Daylesford,Kerry Greenwood,,9781728234540,,,paperback,historical fiction
Iron Ties,Ann Parker,,9781590582633,,584,paperback,Fiction
Miss Cameron's Fall from Grace,Helen Dickson,,9780373306404,,280,paperback,Historical
Applewood,Claude Michelet,,9781407238234,,0,paperback,Family
Playing Beatie Bow,Ruth Park,,9780140322491,,196,paperback,Australia
Playing Beatie Bow,Ruth Park,,9780140314601,,196,paperback,Australia
Dragon's Blood,Christopher Nicole,,9781855016637,,432,paperback,Opium trade
Catherine,Sue Barr,,9780994771889,,260,paperback,Historical
Take Heart,Lisa Higdon,,9780515118988,,276,paperback,Fiction
Flashman at the Charge,George MacDonald Fraser,,9780214668418,,0,paperback,"Crimean War, 1853-1856"
Sleeping Beauty and the Demon,Marina Myles,,9781601832825,,274,paperback,Fiction
The Children's Crusade,Henry Treece,,,,193,paperback,Crusades
The Pleasures of Love,Jean Plaidy,,9780745175287,,437,paperback,Great Britain
Escape to Eaglehawk,Vashti Farrer,,9781864290295,,125,paperback,historical fiction
Orphans of the Carnival,Carol Birch,,9781782116547,,0,paperback,Biographical fiction
When a Girl is Born,Pamela Grant,,9780192716996,,136,paperback,China
Le vrai et le faux au Moyen Âge,Elisabeth Gaucher,,,,392,paperback,False
