,Unnamed: 0,Good_Reads_Popularity_Rank,Title,Author,Avg_Rating,Num_Ratings,ISBN,ASIN,Genres,Series,Page_Number,Format,Rank_Score,Rating_Score,NumRatings_Score,Quality_Score
204,204,271.0,Mystic River,Dennis Lehane,4.17,153601.0,9780060584757,0060584750,"Mystery, Fiction, Thriller, Crime, Mystery Thriller, Suspense, Drama",,416,Paperback,0.471624266144814,0.7925,0.01637414398493025,0.518249602532436
234,234,313.0,The Cruel Prince,Holly Black,4.02,1531422.0,9780316310277,0316310271,"Fantasy, Young Adult, Romance, Enemies To Lovers, Fae, Fiction, Young Adult Fantasy","The Folk of the Air, #1",370,Hardcover,0.3894324853228963,0.7549999999999999,0.16424488816439264,0.5159193433718222
219,219,291.0,The Idiot,Fyodor Dostoevsky,4.21,201179.0,9780679642428,0679642420,"Fiction, Russia, Russian Literature, Classics, Literature, Philosophy, Novels",,667,Paperback,0.4324853228962817,0.8025,0.021480318347616306,0.5147414103109744
129,129,172.0,The Elephant Tree,R.D. Ronald,3.78,31314.0,9781848764569,1848764561,"Thriller, Mystery, Fiction, Crime, Drama, Contemporary, Novels",,252,Paperback,0.6653620352250489,0.695,0.0032500373749468616,0.5146530181499989
224,224,301.0,Neverwhere,Neil Gaiman,4.17,550478.0,9780060557812,0060557818,"Fantasy, Fiction, Urban Fantasy, Audiobook, Science Fiction Fantasy, Horror, Science Fiction","London Below, #1",370,Paperback,0.4129158512720157,0.7925,0.05896784616954821,0.514220924360391
223,223,300.0,None of This Is True,Lisa Jewell,4.1,855546.0,9781982179007,1982179007,"Thriller, Mystery, Audiobook, Fiction, Mystery Thriller, Suspense, Crime",,390,Hardcover,0.41487279843444225,0.7749999999999999,0.09170840694292896,0.5141453013443428
216,216,287.0,Kafka on the Shore,Haruki Murakami,4.12,513540.0,9781400079278,1400079276,"Fiction, Magical Realism, Fantasy, Japanese Literature, Novels, Literature, Classics",,467,Paperback,0.4403131115459882,0.78,0.05500357973109142,0.5138291728192699
222,222,297.0,Into the Wild,Jon Krakauer,4.02,1147094.0,9780385486804,0385486804,"Nonfiction, Biography, Adventure, Classics, Memoir, Nature, School",,207,Paperback,0.42074363992172215,0.7549999999999999,0.12299797193289058,0.5134354029636531
154,154,208.0,Jonathan Livingston Seagull,Richard Bach,3.86,263538.0,9780743278904,0743278909,"Fiction, Classics, Philosophy, Fantasy, Spirituality, Inspirational, Self Help",,112,Paperback,0.5949119373776908,0.715,0.02817282175429039,0.5132711897829952
185,185,249.0,The Wind in the Willows,Kenneth Grahame,4.02,231171.0,9780143039099,0143039091,"Fiction, Childrens, Fantasy, Classics, Animals, Young Adult, Middle Grade",,197,Paperback,0.5146771037181996,0.7549999999999999,0.02469912497012419,0.5123440571720809
209,209,277.0,Shutter Island,Dennis Lehane,4.13,208775.0,9780380731862,038073186X,"Mystery, Fiction, Thriller, Horror, Mystery Thriller, Crime, Suspense",,369,Mass Market Paperback,0.45988258317025443,0.7825,0.022295537576229596,0.5117945301866209
211,211,279.0,Speak,Laurie Halse Anderson,4.05,615607.0,9780374311254,0374311250,"Young Adult, Fiction, Contemporary, Realistic Fiction, Mental Health, Coming Of Age, Teen",,224,Hardcover,0.4559686888454011,0.7625,0.0659576319963459,0.5117315802104367
104,104,140.0,The Scarlet Letter,Nathaniel Hawthorne,3.44,893265.0,9780142437261,0142437263,"Fiction, Historical Fiction, School, Literature, High School, Historical, Read For School",,279,Paperback,0.7279843444227005,0.61,0.09575649199875635,0.5109352091053643
327,327,422.0,Heir of Fire,Sarah J. Maas,4.46,1277428.0,9781619630659,1619630656,"Young Adult, Romance, Fantasy, Fiction, Magic, Fae, Romantasy","Throne of Glass, #3",565,Hardcover,0.1761252446183954,0.865,0.136985700071659,0.5107777361725137
199,199,266.0,Dark Places,Gillian Flynn,3.95,799498.0,9780307341563,0307341569,"Mystery, Fiction, Thriller, Mystery Thriller, Crime, Suspense, Audiobook",,424,Hardcover,0.48140900195694725,0.7375,0.08569321377213936,0.5105255539322717
195,195,262.0,Ella Enchanted,Gail Carson Levine,4.01,419217.0,9780590920681,0590920685,"Fantasy, Young Adult, Fiction, Middle Grade, Romance, Childrens, Fairy Tales","Ella Enchanted, #1",240,Paperback,0.4892367906066537,0.7525,0.04488063037610305,0.5097793552456892
254,254,335.0,All Creatures Great and Small,James Herriot,4.35,152888.0,9780312965785,0312965788,"Nonfiction, Memoir, Animals, Classics, Biography, Audiobook, Biography Memoir","All Creatures Great and Small, #1-2",437,Mass Market Paperback,0.3463796477495107,0.8374999999999999,0.01629762327534609,0.5094193177562142
196,196,263.0,Girl with a Pearl Earring,Tracy Chevalier,3.93,759723.0,9780452287020,0452287022,"Historical Fiction, Fiction, Classics, Historical, Art, Romance, Adult Fiction",,233,Paperback,0.4872798434442269,0.7325,0.08142447432794588,0.5084260794430432
235,235,314.0,Foundation,Isaac Asimov,4.17,570846.0,9780553803716,0553803719,"Science Fiction, Fiction, Science Fiction Fantasy, Fantasy, Classics, Audiobook, Space Opera","Foundation, #1",244,Hardcover,0.38747553816046976,0.7925,0.061153784195929935,0.5084073305890999
319,319,412.0,The House of Hades,Rick Riordan,4.57,456454.0,9781423146728,1423146727,"Fantasy, Mythology, Young Adult, Fiction, Middle Grade, Adventure, Greek Mythology","The Heroes of Olympus, #4",597,Hardcover,0.19569471624266144,0.8925000000000001,0.04887698614438546,0.5073929255967617
390,390,501.0,The Nightingale,Kristin Hannah,4.64,1743746.0,9780312577223,0312577222,"Historical Fiction, Fiction, Historical, Audiobook, World War II, War, Romance",,564,Hardcover,0.021526418786692814,0.9099999999999999,0.1870319612944728,0.5071395950202914
298,298,390.0,Ignite Me,Tahereh Mafi,4.45,591183.0,9780062085597,B07H56SK9J,"Fantasy, Dystopia, Romance, Young Adult, Enemies To Lovers, Science Fiction, Fiction","Shatter Me, #3",408,Kindle Edition,0.23874755381604706,0.8625,0.06333639523493843,0.5067709872627464
213,213,281.0,Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream,Hunter S. Thompson,4.07,364904.0,9780679785897,B01BITNA5S,"Fiction, Classics, Humor, Journalism, Novels, Literature, American",,204,Paperback,0.452054794520548,0.7675000000000001,0.03905164117604067,0.5065266089241472
161,161,217.0,A Farewell to Arms,Ernest Hemingway,3.82,338322.0,9780099910107,0099910101,"Fiction, Historical Fiction, Classics, War, Literature, Novels, Romance",,293,Paperback,0.5772994129158513,0.705,0.03619880316458746,0.5058745540201097
228,228,305.0,The Things They Carried,Tim O'Brien,4.14,331377.0,9780767902892,0767902890,"Fiction, Historical Fiction, Classics, War, Short Stories, School, Historical",,246,Paperback,0.40508806262230923,0.7849999999999999,0.03545345067081188,0.5026353783232802
192,192,258.0,The God of Small Things,Arundhati Roy,3.96,312357.0,9780679457312,B006E58GFG,"Fiction, India, Historical Fiction, Classics, Literary Fiction, Contemporary, Indian Literature",,321,Paperback,0.49706457925636016,0.74,0.03341218293407875,0.5026191905476097
272,272,357.0,Different Seasons,Stephen King,4.36,214108.0,9780751514629,0751514624,"Horror, Fiction, Short Stories, Thriller, Mystery, Fantasy, Drama",,560,Mass Market Paperback,0.3033268101761253,0.8400000000000001,0.022867886726597515,0.5015486742256807
288,288,378.0,The Monster at the End of this Book,Jon Stone,4.46,126099.0,9780375829130,037582913X,"Picture Books, Childrens, Fiction, Humor, Classics, Monsters, Storytime",,32,Hardcover,0.26223091976516644,0.865,0.01342256957401361,0.501413372334795
180,180,242.0,A Confederacy of Dunces,John Kennedy Toole,3.89,287622.0,9780802130204,0802130208,"Fiction, Humor, Literature, Comedy, Novels, Classics, American",,394,Paperback,0.528375733855186,0.7225,0.030757568976765716,0.501033325707988
193,193,259.0,The Phantom of the Opera,Gaston Leroux,3.96,262450.0,9780060809249,0060809248,"Fiction, Horror, Romance, Gothic, Classics, Mystery, Historical Fiction",,360,Mass Market Paperback,0.4951076320939334,0.74,0.028056055229707548,0.5007909218309102
248,248,329.0,I Know This Much Is True,Wally Lamb,4.21,318361.0,9780060987565,0060987561,"Fiction, Contemporary, Literary Fiction, Novels, Mental Health, Adult Fiction, Psychology",,897,Paperback,0.3581213307240705,0.8025,0.034056545262750974,0.4992944689967054
152,152,204.0,Madame Bovary,Gustave Flaubert,3.71,355150.0,9780192840394,0192840398,"Fiction, Classics, France, Literature, French Literature, Romance, 19th Century",,329,Paperback,0.6027397260273972,0.6775,0.03800482069738163,0.4989361366811947
316,316,409.0,The Complete Novels,Jane Austen,4.57,33701.0,9780140259445,0140259449,"Classics, Fiction, Romance, Historical Fiction, Literature, Historical, Classic Literature",,1344,Paperback,0.20156555772994134,0.8925000000000001,0.003506215402685136,0.4975179432831566
244,244,325.0,The Bone Collector,Jeffery Deaver,4.2,186222.0,9780451188458,0451188454,"Mystery, Thriller, Fiction, Crime, Mystery Thriller, Suspense, Detective","Lincoln Rhyme, #1",528,Mass Market Paperback,0.36594911937377694,0.8,0.019875100601122225,0.4964560549937248
227,227,304.0,The Vampire Lestat,Anne Rice,4.1,210002.0,9780345476883,0345476883,"Horror, Fantasy, Vampires, Fiction, Paranormal, Supernatural, Gothic","The Vampire Chronicles, #2",481,Mass Market Paperback,0.4070450097847358,0.7749999999999999,0.022427221882905284,0.49486805791691024
378,378,488.0,Queen of Shadows,Sarah J. Maas,4.62,1142321.0,9781619636040,1619636042,"Young Adult, Romance, Fiction, Fae, Magic, Romantasy, Young Adult Fantasy","Throne of Glass, #4",648,Hardcover,0.046966731898238745,0.905,0.12248572319958737,0.4948631137744565
267,267,351.0,City of Lost Souls,Cassandra Clare,4.21,552842.0,9781442416864,1442416866,"Fantasy, Young Adult, Romance, Paranormal, Urban Fantasy, Vampires, Fiction","The Mortal Instruments, #5",535,Hardcover,0.31506849315068486,0.8025,0.0592215557872999,0.4948225122344962
200,200,267.0,Uglies,Scott Westerfeld,3.85,694875.0,9780689865381,0689865384,"Young Adult, Dystopia, Science Fiction, Fiction, Fantasy, Romance, Teen","Uglies, #1",425,Paperback,0.47945205479452047,0.7125,0.07446484603185387,0.49472922520659357
294,294,384.0,Aristotle and Dante Discover the Secrets of the Universe,Benjamin Alire Sáenz,4.3,650175.0,9781442408920,1442408928,"Young Adult, LGBT, Contemporary, Fiction, Queer, Audiobook, Coming Of Age","Aristotle and Dante, #1",390,Hardcover,0.25048923679060664,0.825,0.06966754488401103,0.4925391954186544
208,208,276.0,Paper Towns,John Green,3.7,1444674.0,9780142414934,B003F76HBG,"Young Adult, Fiction, Contemporary, Romance, Mystery, Realistic Fiction, Coming Of Age",,305,Paperback,0.461839530332681,0.675,0.15493490427237766,0.49169360865126466
177,177,238.0,Fallen,Lauren Kate,3.72,605542.0,9780385738934,0385738935,"Fantasy, Young Adult, Romance, Paranormal, Angels, Paranormal Romance, Fiction","Fallen, #1",464,Hardcover,0.5362035225048924,0.68,0.06487743432178128,0.49027023920666846
262,262,346.0,"Lamb: The Gospel According to Biff, Christ’s Childhood Pal",Christopher Moore,4.23,178067.0,9780380813810,0380813815,"Fiction, Humor, Historical Fiction, Fantasy, Religion, Comedy, Audiobook",,444,Paperback,0.3248532289628181,0.8075000000000001,0.018999888277617564,0.489713279310109
207,207,275.0,She’s Come Undone,Wally Lamb,3.91,354120.0,9780671021009,B000MZ077O,"Fiction, Contemporary, Chick Lit, Coming Of Age, Adult Fiction, Novels, Literary Fiction",,465,Mass Market Paperback,0.46379647749510755,0.7275,0.03789427885885192,0.4891726890884899
282,282,370.0,Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,4.28,317386.0,9780375508417,0375508414,"Fiction, Historical Fiction, Classics, LGBT, Queer, Historical, Chick Lit",,416,Hardcover,0.27788649706457935,0.8200000000000001,0.0339519061437544,0.48795960080208345
309,309,402.0,A Little Life,Hanya Yanagihara,4.3,805878.0,9780385539258,0385539258,"Fiction, Contemporary, Literary Fiction, LGBT, Queer, Mental Health, Novels",,720,Hardcover,0.2152641878669277,0.825,0.0863779292379836,0.4879105292762278
225,225,302.0,Shatter Me,Tahereh Mafi,3.84,1081735.0,9780062085481,0062085484,"Dystopia, Young Adult, Fiction, Science Fiction, Paranormal, Enemies To Lovers, Audiobook","Shatter Me, #1",338,Hardcover,0.41095890410958913,0.71,0.11598350200622705,0.486735601528954
307,307,400.0,Love You Forever,Robert Munsch,4.38,243360.0,9780920668375,0920668372,"Picture Books, Childrens, Fiction, Classics, Family, Love, Kids",,32,Paperback,0.2191780821917808,0.845,0.026007274940841336,0.4837963392831555
247,247,328.0,Pretty Girls,Karin Slaughter,4.02,570304.0,9780062430878,0062430874,"Thriller, Mystery, Fiction, Mystery Thriller, Audiobook, Crime, Suspense",,432,Paperback,0.36007827788649704,0.7549999999999999,0.06109561557798517,0.4827934733661205
217,217,288.0,Before I Go to Sleep,S.J. Watson,3.9,353063.0,9780062060556,0062060554,"Thriller, Fiction, Mystery, Mystery Thriller, Suspense, Crime, Contemporary",,359,Hardcover,0.4383561643835616,0.725,0.0377808393216423,0.481534250926301
249,249,330.0,James and the Giant Peach,Roald Dahl,4.03,497805.0,9780375814242,0375814248,"Childrens, Fantasy, Fiction, Classics, Young Adult, Middle Grade, Adventure",,176,Hardcover,0.3561643835616439,0.7575000000000001,0.05331486533374674,0.4811198122238477
232,232,310.0,Delirium,Lauren Oliver,3.95,474362.0,9780061726835,0061726834,"Young Adult, Dystopia, Romance, Fantasy, Science Fiction, Fiction, Teen","Delirium, #1",441,Paperback,0.3953033268101762,0.7375,0.05079891162437583,0.48027555960863805
212,212,280.0,Marked,P.C. Cast,3.82,513354.0,9780312360269,0312360266,"Young Adult, Fantasy, Vampires, Paranormal, Romance, Fiction, Supernatural","House of Night, #1",306,Paperback,0.45401174168297453,0.705,0.05498361780685207,0.47974883987245664
274,274,359.0,Then She Was Gone,Lisa Jewell,4.05,857097.0,9781501154645,1501154648,"Thriller, Mystery, Fiction, Mystery Thriller, Audiobook, Suspense, Crime",,359,Paperback,0.29941291585127194,0.7625,0.09187486363376351,0.4790719448712588
365,365,472.0,Crown of Midnight,Sarah J. Maas,4.36,1452603.0,9781619630628,1619630621,"Young Adult, Romance, Fiction, Magic, Romantasy, Young Adult Fantasy, High Fantasy","Throne of Glass, #2",420,Hardcover,0.07827788649706457,0.8400000000000001,0.15578586178470977,0.4785159370704436
325,325,420.0,11/22/63,Stephen King,4.34,593292.0,9781451627282,1451627289,"Fiction, Historical Fiction, Science Fiction, Time Travel, Horror, Fantasy, Thriller",,849,Hardcover,0.18003913894324852,0.835,0.06356273769849102,0.4784004691604349
239,239,319.0,The Family Upstairs,Lisa Jewell,3.96,501774.0,9781501190100,1501190105,"Thriller, Mystery, Fiction, Mystery Thriller, Audiobook, Suspense, Crime","The Family Upstairs, #1",340,Hardcover,0.3776908023483365,0.74,0.05374082703969279,0.47785790734700734
245,245,326.0,The Once and Future King,T.H. White,4.07,115373.0,9780441627400,0441627404,"Fantasy, Classics, Fiction, Historical Fiction, Arthurian, Mythology, Young Adult",,639,Mass Market Paperback,0.3639921722113504,0.7675000000000001,0.012271431942877987,0.47781590103855714
278,278,363.0,Hamlet,William Shakespeare,4.02,1004103.0,9780521618748,0521618746,"Plays, Fiction, School, Literature, Read For School, Poetry, High School",,289,Paperback,0.2915851272015655,0.7549999999999999,0.10765186704628665,0.477309248561963
286,286,375.0,The Graveyard Book,Neil Gaiman,4.16,556936.0,9780060530921,0060530928,"Fantasy, Young Adult, Fiction, Horror, Middle Grade, Paranormal, Audiobook",,312,Hardcover,0.2681017612524461,0.79,0.059660932764912175,0.4769406735043396
300,300,392.0,The Art of Racing in the Rain,Garth Stein,4.23,539090.0,9781554681723,1554681723,"Fiction, Animals, Dogs, Audiobook, Adult Fiction, Book Club, Contemporary",,336,Hardcover,0.23483365949119372,0.8075000000000001,0.057745661259668256,0.47689483018771556
218,218,290.0,Island of the Blue Dolphins,Scott O'Dell,3.87,342454.0,9780547488899,B0038AUY8M,"Fiction, Young Adult, Historical Fiction, Childrens, Middle Grade, Adventure, School",,194,Kindle Edition,0.4344422700587085,0.7175,0.03664225838478627,0.4765211321108737
231,231,309.0,Never Let Me Go,Kazuo Ishiguro,3.85,780332.0,9781400078776,1400078776,"Fiction, Science Fiction, Dystopia, Contemporary, Literary Fiction, Romance, Classics",,288,Paperback,0.3972602739726028,0.7125,0.08363627699810007,0.4764741377426757
293,293,383.0,The Prince of Tides,Pat Conroy,4.26,212556.0,9780553381542,0553381547,"Fiction, Classics, Romance, Southern, Contemporary, Literary Fiction, Literature",,679,Paperback,0.2524461839530332,0.815,0.022701322713589638,0.4762868766666557
141,141,189.0,Heart of Darkness,Joseph Conrad,3.43,536927.0,9781892295491,1892295490,"Fiction, Classics, Literature, Historical Fiction, Africa, School, Novels",,188,Paperback,0.6320939334637965,0.6075,0.05751352339875586,0.4761518642156381
280,280,366.0,The Only One Left,Riley Sager,4.14,449950.0,9780593183229,0593183223,"Thriller, Mystery, Mystery Thriller, Fiction, Horror, Audiobook, Suspense",,383,Hardcover,0.2857142857142858,0.7849999999999999,0.04817896272904833,0.4759733121108335
296,296,388.0,Number the Stars,Lois Lowry,4.19,598509.0,9780440227533,0440227534,"Historical Fiction, Young Adult, Fiction, Classics, Middle Grade, Historical, Childrens",,137,Mass Market Paperback,0.24266144814090018,0.7975000000000001,0.06412263747675268,0.4754460214044133
276,276,361.0,The Cider House Rules,John Irving,4.17,190753.0,9780786226740,0786226749,"Fiction, Classics, Historical Fiction, Literature, Literary Fiction, Contemporary, Novels",,1064,Hardcover,0.2954990215264188,0.7925,0.02036137736847963,0.4752150997237246
269,269,353.0,Graceling,Kristin Cashore,4.07,473305.0,9780152063962,015206396X,"Fantasy, Young Adult, Romance, Fiction, Young Adult Fantasy, Adventure, Magic","Graceling Realm, #1",471,Hardcover,0.31115459882583174,0.7675000000000001,0.050685472087166214,0.4742100177282495
301,301,393.0,V for Vendetta,Alan Moore,4.26,317098.0,9781401207922,1401207928,"Graphic Novels, Comics, Fiction, Dystopia, Science Fiction, Graphic Novels Comics, Classics",,296,Hardcover,0.23287671232876717,0.815,0.033920997357835415,0.4741994274216506
257,257,341.0,Behind Closed Doors,B.A. Paris,3.97,691259.0,9781250121004,1250121000,"Thriller, Fiction, Mystery, Mystery Thriller, Suspense, Audiobook, Psychological Thriller",,293,Hardcover,0.3346379647749511,0.7425,0.07407676905309325,0.4734286834570111
167,167,225.0,Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire,3.52,653212.0,9780060987107,B007CGOP4C,"Fantasy, Fiction, Retellings, Audiobook, Witches, Classics, Magic","The Wicked Years, #1",406,Paperback,0.5616438356164384,0.63,0.06999348232441369,0.472909329485213
210,210,278.0,Shiver,Maggie Stiefvater,3.76,490693.0,9780545123266,0545123267,"Young Adult, Fantasy, Romance, Paranormal, Werewolves, Fiction, Paranormal Romance","The Wolves of Mercy Falls, #1",392,Hardcover,0.4579256360078279,0.69,0.05255159003702508,0.4726193065112132
315,315,408.0,The Power of One,Bryce Courtenay,4.35,91852.0,9780345410054,034541005X,"Fiction, Historical Fiction, Africa, Classics, South Africa, Coming Of Age, Historical","The Power of One, #1",544,Paperback,0.2035225048923679,0.8374999999999999,0.009747107103987351,0.4720674029990888
240,240,320.0,You,Caroline Kepnes,3.96,269822.0,9781501195433,1501195433,"Thriller, Fiction, Mystery, Mystery Thriller, Contemporary, Audiobook, Horror","You, #1",464,Paperback,0.37573385518590996,0.74,0.028847234291494963,0.4711452723693512
236,236,315.0,Blood River: A Journey to Africa’s Broken Heart,Tim Butcher,3.98,11739.0,9780099494287,0099494280,"Travel, Nonfiction, Africa, History, Adventure, Memoir, Biography",,363,Paperback,0.385518590998043,0.745,0.0011492058320156852,0.46916694920751467
183,183,245.0,The Crucible,Arthur Miller,3.61,443066.0,9780142437339,0142437336,"Classics, Plays, Fiction, Historical Fiction, School, Read For School, Historical",,143,Paperback,0.5225048923679061,0.6525,0.047440156887845863,0.46873626231393795
260,260,344.0,Heidi,Johanna Spyri,4.04,206411.0,9780753454947,0753454947,"Classics, Fiction, Childrens, Historical Fiction, Young Adult, Middle Grade, Historical","Heidi, #1-2",352,Paperback,0.3287671232876712,0.76,0.022041827958477908,0.4677022378115373
311,311,404.0,A Short History of Nearly Everything,Bill Bryson,4.22,406241.0,9780767908184,076790818X,"Nonfiction, Science, History, Audiobook, Humor, Physics, Popular Science",,544,Paperback,0.21135029354207435,0.8049999999999999,0.04348801785497534,0.46620957784926237
386,386,497.0,The Hate U Give,Angie Thomas,4.46,966573.0,9780062498533,0062498533,"Young Adult, Fiction, Contemporary, Audiobook, Realistic Fiction, Race, Social Justice","The Hate U Give, #1",454,Hardcover,0.02935420743639927,0.865,0.10362406588121861,0.4657445683294045
271,271,356.0,Home Before Dark,Riley Sager,4.06,256591.0,9781524745172,1524745170,"Horror, Thriller, Mystery, Mystery Thriller, Fiction, Audiobook, Suspense",,389,Hardcover,0.30528375733855184,0.7649999999999999,0.02742725461616815,0.46567775298867997
289,289,379.0,Stardust,Neil Gaiman,4.1,472288.0,9780061142024,0061142026,"Fantasy, Fiction, Young Adult, Adventure, Audiobook, Magic, Science Fiction Fantasy",,248,Paperback,0.26027397260273966,0.7749999999999999,0.05057632543688979,0.46521257450990733
270,270,354.0,A Flicker in the Dark,Stacy Willingham,3.99,517586.0,9781250803825,1250803829,"Thriller, Mystery, Mystery Thriller, Fiction, Audiobook, Suspense, Crime",,357,Hardcover,0.3091976516634052,0.7475,0.05543780524438386,0.46490886422694727
162,162,219.0,The Canterbury Tales,Geoffrey Chaucer,3.52,232505.0,9780140424386,0140424385,"Fiction, Poetry, Classics, Literature, School, Short Stories, Historical Fiction",,504,Paperback,0.5733855185909981,0.63,0.024842292749346167,0.464556952835086
353,353,457.0,Circe,Madeline Miller,4.23,1217108.0,9780316556347,0316556343,"Fantasy, Fiction, Mythology, Historical Fiction, Greek Mythology, Audiobook, Retellings",,393,Hardcover,0.10763209393346385,0.8075000000000001,0.1305120265764044,0.4632860301274671
318,318,411.0,The Eye of the World,Robert Jordan,4.19,561639.0,9780812511819,0812511816,"Fantasy, Fiction, Epic Fantasy, High Fantasy, Audiobook, Science Fiction Fantasy, Adventure","The Wheel of Time, #1",800,Mass Market Paperback,0.197651663405088,0.7975000000000001,0.06016566894608231,0.46320433308779263
238,238,318.0,Lock Every Door,Riley Sager,3.89,259577.0,9781524745158,1524745154,"Thriller, Mystery, Mystery Thriller, Fiction, Horror, Audiobook, Suspense",,381,ebook,0.3796477495107633,0.7225,0.027747718625730985,0.46309886703412356
308,308,401.0,The Witches,Roald Dahl,4.18,414489.0,9780590032490,0590032496,"Fantasy, Childrens, Fiction, Classics, Middle Grade, Young Adult, Witches",,208,Paperback,0.21722113502935425,0.7949999999999999,0.04437321114059967,0.46289858654248844
291,291,381.0,Sophie’s Choice,William Styron,4.17,92936.0,9780679736370,0679736379,"Fiction, Historical Fiction, Holocaust, War, Classics, Historical, World War II",,562,Paperback,0.25636007827788654,0.7925,0.009863444339876874,0.46280588065444084
261,261,345.0,The Thirteenth Tale,Diane Setterfield,3.98,320803.0,9780743298025,0743298020,"Fiction, Mystery, Historical Fiction, Gothic, Books About Books, Fantasy, Audiobook",,406,Hardcover,0.32681017612524466,0.745,0.03431862601002239,0.46278220053381675
255,255,336.0,Flow Down Like Silver,Ki Longfellow,4.01,4516.0,9780975925591,0975925598,"Historical Fiction, Fiction, Egypt, Historical, Philosophy, Literature, Africa",,301,Paperback,0.34442270058708413,0.7525,0.00037401777405441386,0.4624491795902846
258,258,342.0,No Exit,Taylor Adams,3.99,192141.0,9781912106769,B073BVCHKG,"Thriller, Mystery Thriller, Mystery, Fiction, Horror, Suspense, Crime",,287,Kindle Edition,0.33268101761252455,0.7475,0.020510340545061415,0.46204783953939654
351,351,454.0,City of Heavenly Fire,Cassandra Clare,4.38,403201.0,9781481426305,1481426303,"Fantasy, Young Adult, Romance, Paranormal, Urban Fantasy, Vampires, Fiction","The Mortal Instruments, #6",725,Hardcover,0.11350293542074374,0.845,0.04316175844805269,0.46166617346719907
304,304,396.0,War and Peace,Leo Tolstoy,4.16,350300.0,9780192833983,0192833987,"Classics, Fiction, Historical Fiction, Russia, Russian Literature, Literature, War",,1392,Paperback,0.22700587084148727,0.79,0.03748430815673202,0.46112254474955483
380,380,490.0,"Unbroken: A World War II Story of Survival, Resilience and Redemption",Laura Hillenbrand,4.39,977692.0,9781400064168,1400064163,"Nonfiction, History, Biography, World War II, War, Historical, Audiobook",,475,Hardcover,0.04305283757338563,0.8474999999999999,0.10481738112647285,0.46071755467496456
330,330,426.0,Tao Te Ching,Lao Tzu,4.29,172111.0,9780679724346,0679724346,"Philosophy, Nonfiction, Classics, Spirituality, Poetry, China, Self Help",,107,Paperback,0.16829745596868895,0.8225,0.01836067741326517,0.45791453334548854
302,302,394.0,Eleanor & Park,Rainbow Rowell,3.93,1224357.0,9781250012579,1250012570,"Young Adult, Romance, Fiction, Contemporary, Realistic Fiction, Audiobook, Coming Of Age",,328,Hardcover,0.2309197651663406,0.7325,0.13129000501087226,0.45680244254430324
299,299,391.0,The Magician’s Nephew,C.S. Lewis,4.05,576678.0,9780060764906,0060764902,"Fantasy, Fiction, Young Adult, Childrens, Middle Grade, Christian, Adventure","Chronicles of Narnia, #6",221,Mass Market Paperback,0.23679060665362028,0.7625,0.06177968711078943,0.4558925734411024
277,277,362.0,The Last Thing He Told Me,Laura Dave,3.83,1066158.0,9781501171345,1501171348,"Mystery, Fiction, Thriller, Audiobook, Mystery Thriller, Suspense, Contemporary",,307,Hardcover,0.29354207436399227,0.7075,0.11431174451226848,0.4557134547190652
343,343,442.0,The BFG,Roald Dahl,4.23,507685.0,9780141311371,0141311371,"Fantasy, Childrens, Fiction, Middle Grade, Young Adult, Humor, Adventure",,199,Paperback,0.13698630136986312,0.8075000000000001,0.05437520840624534,0.4515903774440272
323,323,417.0,’Salem’s Lot,Stephen King,4.1,623014.0,9780450031069,0450031063,"Horror, Fiction, Vampires, Fantasy, Thriller, Paranormal, Audiobook",,483,Paperback,0.18590998043052842,0.7749999999999999,0.06675256733419985,0.450665636941182
370,370,477.0,The Invisible Life of Addie LaRue,Victoria E. Schwab,4.18,1308636.0,9780765387561,0765387565,"Fantasy, Fiction, Romance, Historical Fiction, Historical, Magical Realism, LGBT",,448,Hardcover,0.06849315068493156,0.7949999999999999,0.14033501045693594,0.4497070402854668
273,273,358.0,"Are You There God? It’s Me, Margaret",Judy Blume,3.94,249096.0,9780689841583,0689841582,"Young Adult, Fiction, Childrens, Classics, Middle Grade, Coming Of Age, Realistic Fiction",,149,Hardcover,0.3013698630136987,0.735,0.02662287492706117,0.44949818448518997
287,287,377.0,Middlemarch,George Eliot,4.03,171784.0,9780451529176,0451529170,"Classics, Fiction, Historical Fiction, Literature, 19th Century, Victorian, Novels",,912,Mass Market Paperback,0.264187866927593,0.7575000000000001,0.01832558306258632,0.44937836249754487
230,230,308.0,The Paris Apartment,Lucy Foley,3.65,640192.0,9780063003057,0063003058,"Mystery, Thriller, Fiction, Mystery Thriller, Audiobook, Suspense, Crime",,360,Hardcover,0.39921722113502933,0.6625,0.06859614762765946,0.4482033421906722
295,295,386.0,Dead Until Dark,Charlaine Harris,3.97,552584.0,9780441008537,0441008534,"Fantasy, Vampires, Paranormal, Romance, Urban Fantasy, Fiction, Mystery","Sookie Stackhouse, #1",292,Mass Market Paperback,0.24657534246575352,0.7425,0.05919386666658081,0.4476923022830836
326,326,421.0,The Grapes of Wrath,John Steinbeck,4.02,954793.0,9780670016907,067001690X,"Classics, Fiction, Historical Fiction, Literature, Novels, School, American",,496,Hardcover,0.17808219178082196,0.7549999999999999,0.10235981067939336,0.44761050061505375
